size;n;k;comp;swaps
select;300;300/2;625;1810
select;300;300/2;559;1666
select;300;300/2;635;1849
select;300;300/2;550;1661
select;300;300/2;581;1773
select;300;300/2;534;1674
select;300;300/2;507;1480
select;300;300/2;537;1667
select;300;300/2;502;1529
select;300;300/2;563;1675
select;300;300/2;554;1690
select;300;300/2;
select;300;300/2;
select;300;300/2;547;1637
select;300;300/2;536;1603
select;300;300/2;530;1537
select;300;300/2;568;1611
select;300;300/2;586;1725
select;300;300/2;612;1795
select;300;300/2;580;1627
select;300;300/2;565;1655
select;300;300/2;603;1781
select;300;300/2;
select;300;300/2;537;1692
select;300;300/2;530;1561
select;300;300/2;596;1707
select;300;300/2;464;1427
select;300;300/2;538;1499
select;300;300/2;546;1679
select;300;300/2;533;1665
select;300;300/2;541;1731
select;300;300/2;
select;300;300/2;486;1468
select;300;300/2;559;1672
select;300;300/2;596;1799
select;300;300/2;562;1749
select;300;300/2;
select;300;300/2;611;1792
select;300;300/2;
select;300;300/2;593;1757
select;300;300/2;575;1758
select;300;300/2;
select;300;300/2;589;1740
select;300;300-1;634;1845
select;300;300-1;
select;300;300-1;613;1765
select;300;300-1;548;1615
select;300;300-1;
select;300;300-1;586;1710
select;300;300-1;615;1823
select;300;300-1;557;1652
select;300;300-1;447;1422
select;300;300-1;473;1356
select;300;300-1;551;1660
select;300;300-1;614;1794
select;300;300-1;529;1604
select;300;300-1;574;1684
select;300;300-1;583;1752
select;300;300-1;520;1598
select;300;300-1;482;1405
select;300;300-1;557;1640
select;300;300-1;558;1680
select;300;300-1;
select;300;300-1;
select;300;300-1;611;1773
select;300;300-1;
select;300;300-1;563;1590
select;300;300-1;574;1737
select;300;300-1;515;1523
select;300;300-1;620;1823
select;300;300-1;
select;300;300-1;501;1550
select;300;300-1;
select;300;300-1;580;1703
select;300;300-1;
select;300;300-1;
select;300;300-1;535;1599
select;300;300-1;
select;300;300-1;537;1662
select;300;300-1;532;1606
select;300;300-1;622;1763
select;300;300-1;616;1800
select;300;300-1;593;1663
select;300;300-1;457;1331
select;300;300-1;548;1687
select;300;300-1;514;1494
select;300;300-1;547;1687
select;300;300-1;489;1437
select;300;300-1;
select;300;300-1;538;1629
select;300;300-1;588;1764
select;300;300-1;584;1696
select;300;300-1;552;1639
select;300;300-1;
select;300;300-1;532;1626
select;300;300-1;
select;300;300-1;
select;300;300-1;
select;300;300-1;513;1576
select;300;300-1;535;1591
select;300;300-1;459;1385
select;300;300-1;565;1664
select;300;300-1;
select;300;300-1;540;1597
select;300;300-1;
select;300;300-1;
select;300;300-1;
select;300;300-1;556;1662
select;300;300-1;594;1752
select;300;300-1;628;1856
select;300;300-1;591;1765
select;300;300-1;519;1714
select;300;300-1;605;1681
select;300;300-1;504;1440
select;300;300-1;598;1728
select;300;300-1;474;1303
select;300;300-1;
select;300;300-1;545;1604
select;300;300-1;619;1790
select;300;300-1;
select;300;300-1;
select;300;300-1;573;1709
select;300;300-1;600;1743
select;300;300-1;607;1857
select;300;300-1;528;1596
select;300;300-1;599;1820
select;300;300-1;529;1579
select;300;300-1;
select;300;300-1;598;1738
select;300;300-1;491;1416
select;300;300-1;593;1794
select;300;300-1;
select;300;300-1;
select;300;300-1;567;1682
select;300;300-1;517;1502
select;300;300-1;595;1799
select;300;300-1;635;1802
select;300;300-1;617;1790
select;300;300-1;621;1841
select;300;300-1;
select;300;300-1;
select;300;300-1;516;1495
select;300;300-1;497;1499
select;400;0;832;2454
select;400;0;792;2236
select;400;0;895;2589
select;400;0;810;2292
select;400;0;829;2524
select;400;0;808;2322
select;400;0;773;2227
select;400;0;716;2127
select;400;0;716;2120
select;400;0;726;2161
select;400;0;724;2119
select;400;0;736;2217
select;400;0;812;2364
select;400;0;813;2363
select;400;0;810;2493
select;400;0;822;2470
select;400;0;741;2160
select;400;0;790;2338
select;400;0;668;1939
select;400;0;817;2386
select;400;0;748;2267
select;400;0;720;2028
select;400;0;785;2395
select;400;0;805;2375
select;400;0;809;2386
select;400;0;809;2433
select;400;0;843;2512
select;400;0;801;2405
select;400;0;797;2297
select;400;0;809;2352
select;400;0;779;2237
select;400;0;726;2206
select;400;0;776;2345
