type;n;k;comp;shifts
select;300;300/4;692;1251
select;300;300/4;789;1449
select;300;300/4;752;1391
select;300;300/4;753;1421
select;300;300/4;869;1557
select;300;300/4;
select;300;300/4;724;1302
select;300;300/4;
select;300;300/4;761;1395
select;300;300/4;791;1411
select;300;300/4;791;1445
select;300;300/4;825;1487
select;300;300/4;674;1294
select;300;300/4;702;1286
select;300;300/4;709;1354
select;300;300/4;
select;300;300/4;755;1406
select;300;300/4;
select;300;300/4;828;1501
select;300;300/4;
select;300;300/4;820;1493
select;300;300/4;
select;300;300/4;
select;300;300/4;734;1390
select;300;300/4;
select;300;300/4;742;1338
select;300;300/4;
select;300;300/4;819;1480
select;300;300/4;743;1317
select;300;300/4;776;1439
select;300;300/4;744;1402
select;300;300/4;756;1424
select;300;300/4;734;1297
select;300;300/4;
select;300;300/4;678;1311
select;300;300/2;676;1305
select;300;300/2;800;1449
select;300;300/2;762;1427
select;300;300/2;729;1335
select;300;300/2;
select;300;300/2;731;1382
select;300;300/2;750;1366
select;300;300/2;715;1392
select;300;300/2;742;1408
select;300;300/2;
select;300;300/2;676;1241
select;300;300/2;
select;300;300/2;752;1384
select;300;300/2;750;1393
select;300;300/2;794;1440
select;300;300/2;
select;300;300/2;676;1266
select;300;300/2;824;1495
select;300;300/2;787;1457
select;300;300/2;730;1406
select;300;300/2;789;1459
select;300;300/2;774;1456
select;300;300/2;788;1447
select;300;300/2;749;1370
select;300;300/2;728;1347
select;300;300/2;790;1476
select;300;300/2;800;1469
select;300;300/2;869;1556
select;300;300/2;
select;300;300/2;716;1329
select;300;300/2;748;1413
select;300;300/2;
select;300;300/2;
select;300;300/2;
select;300;300/2;
select;300;300/2;853;1544
select;300;300/2;
select;300;300/2;833;1501
select;300;300/2;730;1335
select;300;300/2;783;1454
select;300;300/2;760;1446
select;300;300/2;
select;300;300/2;
select;300;300/2;740;1373
select;300;300/2;726;1357
select;300;300/2;736;1335
select;300;300/2;
select;300;300/2;743;1383
select;300;300/2;748;1431
select;300;300/2;696;1353
select;300;300/2;795;1470
select;300;300/2;
select;300;300/2;650;1220
select;300;300/2;
select;300;300/2;763;1408
select;300;300/2;753;1401
select;300;300/2;716;1319
select;300;300/2;795;1453
select;300;300/2;766;1413
select;300;300/2;767;1397
select;300;300/2;745;1394
select;300;300/2;767;1440
select;300;300/2;683;1234
